cargo;inscricao;Q1;NFDiscur
AN23;1010243;15,500;15,500
AN23;1002986;7,000;7,000
AN23;1007834;6,000;6,000
AN23;1005298;6,000;6,000
AN23;1001478;18,500;18,500
AN23;1000849;4,000;4,000
AN23;1000291;11,000;11,000
AN24;1003331;3,000;3,000
AN24;1002354;10,500;10,500
AN24;1000686;15,000;15,000
AN24;1006894;3,000;3,000
AN24;1003985;15,000;15,000
AN24;1007971;8,000;8,000
AN24;1006909;23,000;23,000
AN24;1009106;9,000;9,000
AN24;1000544;3,000;3,000
AN24;1008794;15,000;15,000
AN24;1000756;25,000;25,000
AN24;1012950;19,000;19,000
AN24;1000534;10,000;10,000
AN24;1003108;12,000;12,000
AN24;1010617;8,000;8,000
AN24;1006300;6,000;6,000
AN24;1005297;7,000;7,000
AN24;1001848;16,000;16,000
AN25;1007307;9,000;9,000
AN25;1007639;21,500;21,500
AN25;1010358;12,000;12,000
AN25;1004093;20,000;20,000
AN25;1000329;13,000;13,000
AN25;1003713;10,000;10,000
AN26;1001198;8,000;8,000
AN26;1014596;8,000;8,000
AN26;1008610;13,000;13,000
AN26;1010614;10,000;10,000
AN26;1000429;12,000;12,000
AN26;1002811;5,000;5,000
AN26;1003680;9,500;9,500
AN26;1007623;9,500;9,500
AN26;1010466;12,000;12,000
AN26;1009753;15,000;15,000
AN26;1009721;11,000;11,000
AN26;1000090;7,000;7,000
AN26;1009913;11,000;11,000
AN26;1013155;12,000;12,000
AN26;1004143;15,000;15,000
AN26;1004986;8,000;8,000
AN26;1005553;5,000;5,000
AN26;1006118;4,000;4,000
AN26;1011116;11,000;11,000
AN26;1010587;21,000;21,000
AN26;1003736;15,000;15,000
AN26;1002317;8,000;8,000
AN26;1009870;15,000;15,000
AN27;1000500;17,000;17,000
AN27;1001258;10,000;10,000
AN27;1000292;18,000;18,000
AN27;1001852;10,000;10,000
